Generation,Diversity
0,36.45805935
1,36.45805935
2,36.45805935
3,36.45805935
4,36.45805935
5,36.45805935
6,36.45805935
7,36.45805935
8,36.45805935
9,36.45805935
10,36.45805935
11,36.45805935
12,36.45805935
13,36.45805935
14,36.45805935
15,36.45805935
16,36.45805935
17,36.45805935
18,36.45805935
19,36.45805935
20,36.45805935
21,36.45805935
22,36.45805935
23,36.45805935
24,36.45805935
25,36.45805935
26,36.45805935
27,36.45805935
28,36.45805935
29,36.45805935
30,36.45805935
31,36.45805935
32,36.45805935
33,36.45805935
34,36.45805935
35,36.45805935
36,36.45805935
37,36.45805935
38,36.45805935
39,36.45805935
40,36.45805935
41,36.45805935
42,36.45805935
43,36.45805935
44,36.45805935
45,36.45805935
46,36.45805935
47,36.45805935
48,36.45805935
49,36.45805935
50,36.45805935
51,36.45805935
52,36.45805935
53,36.45805935
54,36.45805935
55,36.45805935
56,36.45805935
57,36.45805935
58,36.45805935
59,36.45805935
60,36.45805935
61,36.45805935
62,36.45805935
63,36.45805935
64,36.45805935
65,36.45805935
66,36.45805935
67,36.45805935
68,36.45805935
69,36.45805935
70,36.45805935
71,36.45805935
72,36.45805935
73,36.45805935
74,36.45805935
75,36.45805935
76,36.45805935
77,36.45805935
78,36.45805935
79,36.45805935
80,36.45805935
81,36.45805935
82,36.45805935
83,36.45805935
84,36.45805935
85,36.45805935
86,36.45805935
87,36.45805935
88,36.45805935
89,36.45805935
90,36.45805935
91,36.45805935
92,36.45805935
93,36.45805935
94,36.45805935
95,36.45805935
96,36.45805935
97,36.45805935
98,36.45805935
99,36.45805935
